#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000145215.1	Caldicellulosiruptor obsidiansis OB47
GCF_000145235.1	Micromonospora aurantiaca ATCC 27029
GCF_000145255.1	Gallionella capsiferriformans ES-2
GCF_000145275.1	Clostridium cellulovorans 743B
GCF_000145295.1	Methanothermobacter marburgensis str. Marburg
GCF_000146025.2	Candidatus Endomicrobium trichonymphae
GCF_000146065.2	Candidatus Cloacimonas acidaminovorans str. Evry
GCF_000146165.2	Shewanella oneidensis MR-1
GCF_000146345.1	Peptoniphilus duerdenii ATCC BAA-1640
GCF_000146675.1	Prevotella marshii DSM 16973 = JCM 13450
GCF_000147055.1	Dickeya dadantii 3937
GCF_000147335.1	Gloeothece verrucosa PCC 7822
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294
GCF_000147675.1	Peptostreptococcus stomatis DSM 17678
GCF_000147695.2	Thermoanaerobacter wiegelii Rt8.B1
GCF_000147715.2	Mesotoga prima MesG1.Ag.4.2
GCF_000147815.2	Streptomyces violaceusniger Tu 4113
GCF_000147835.2	Sphingobium chlorophenolicum L-1
GCF_000147875.1	Methanolacinia petrolearia DSM 11571
GCF_000148385.1	Vulcanisaeta distributa DSM 14429
GCF_000148645.1	Ferrimonas balearica DSM 9799
GCF_000152145.1	Oscillochloris trichoides DG-6
GCF_000152245.2	Eubacterium callanderi
GCF_000152265.2	Ferroplasma acidarmanus fer1
GCF_000152625.1	Roseovarius nubinhibens ISM
GCF_000152725.1	Pseudooceanicola batsensis HTCC2597
GCF_000152805.1	Maritimibacter alkaliphilus HTCC2654
GCF_000152825.2	Parvularcula bermudensis HTCC2503
GCF_000152885.1	Idiomarina baltica OS145
GCF_000152985.1	Leeuwenhoekiella blandensis MED217
GCF_000153125.2	Congregibacter litoralis KT71
GCF_000153185.1	Reinekea blandensis MED297
GCF_000153205.1	Nitrococcus mobilis Nb-231
GCF_000153225.1	Polaribacter irgensii 23-P
GCF_000153305.1	Oceanicola granulosus HTCC2516
GCF_000153345.1	Neptuniibacter caesariensis
GCF_000153465.1	Aurantimonas manganoxydans SI85-9A1
GCF_000153485.2	Psychroflexus torquis ATCC 700755
GCF_000153705.1	Fulvimarina pelagi HTCC2506
GCF_000153725.1	Salipiger bermudensis HTCC2601
GCF_000154085.1	Bifidobacterium adolescentis L2 32
GCF_000154705.2	Hoeflea phototrophica DFL-43
GCF_000154725.1	Kordia algicida OT-1
GCF_000154785.2	Roseobacter litoralis Och 149
GCF_000154965.1	Streptomyces sviceus ATCC 29083
GCF_000155555.1	Coleofasciculus chthonoplastes PCC 7420
GCF_000155675.2	Octadecabacter antarcticus 307
GCF_000155735.2	Octadecabacter arcticus 238
GCF_000155895.1	Candidatus Pelagibacter sp. HTCC7211
GCF_000156215.1	Collinsella stercoris DSM 13279
GCF_000156355.1	Methylophaga thiooxydans DMS010
GCF_000156575.1	Anaerococcus lactolyticus ATCC 51172
GCF_000156615.2	Corynebacterium pseudogenitalium ATCC 33035
GCF_000158095.2	Labrenzia alexandrii DFL-11
GCF_000158175.1	Luminiphilus syltensis NOR5-1B
GCF_000158915.1	Streptomyces himastatinicus ATCC 53653
GCF_000159015.1	Gleimia coleocanis DSM 15436
GCF_000159155.2	Gardnerella vaginalis ATCC 14019
GCF_000159635.1	Corynebacterium lipophiloflavum DSM 44291
GCF_000159995.1	Alloprevotella tannerae ATCC 51259
GCF_000160035.2	Catonella morbi ATCC 51271
GCF_000160055.1	Dialister invisus DSM 15470
GCF_000160115.1	Shuttleworthia satelles DSM 14600
GCF_000160535.1	Prevotella bergensis DSM 17361
GCF_000160675.1	Granulicatella adiacens ATCC 49175
GCF_000160695.1	Selenomonas flueggei ATCC 43531
GCF_000160735.1	Rickettsia endosymbiont of Ixodes scapularis
GCF_000160775.2	Aeromicrobium marinum DSM 15272
GCF_000161935.1	Lactobacillus coleohominis 101-4-CHN
GCF_000162475.2	Granulicatella elegans ATCC 700633
GCF_000162755.2	Legionella drancourtii LLAP12
GCF_000162875.1	Slackia exigua ATCC 700122
GCF_000163615.3	Aggregatibacter actinomycetemcomitans D7S-1
GCF_000163895.2	Filifactor alocis ATCC 35896
GCF_000164135.1	Mycobacterium parascrofulaceum ATCC BAA-614
GCF_000164635.1	Roseomonas cervicalis ATCC 49957
GCF_000164695.2	Rothia dentocariosa ATCC 17931
GCF_000164885.1	Ketogulonicigenium vulgare Y25
GCF_000164905.1	Hydrogenobacter thermophilus TK-6
GCF_000164985.3	Paenibacillus polymyxa SC2
GCF_000165465.1	Halanaerobium praevalens DSM 2228
GCF_000165485.1	Stigmatella aurantiaca DW4/3-1
GCF_000165505.1	Ilyobacter polytropus DSM 2926
GCF_000165715.2	Rubinisphaera brasiliensis DSM 5305
GCF_000165735.1	Megasphaera micronuciformis F0359
GCF_000165795.1	Aminomonas paucivorans DSM 12260
GCF_000165835.1	Achromobacter xylosoxidans A8
GCF_000166055.1	Rhodomicrobium vannielii ATCC 17100
GCF_000166095.1	Methanothermus fervidus DSM 2088
GCF_000166135.1	Frankia inefficax
GCF_000166195.2	Mucilaginibacter paludis DSM 18603
GCF_000166275.1	Algoriphagus machipongonensis
GCF_000166295.1	Marinobacter adhaerens HP15
GCF_000166335.1	Caldicellulosiruptor owensensis OL
GCF_000166355.1	Caldicellulosiruptor hydrothermalis 108
GCF_000166395.1	Leadbetterella byssophila DSM 17132
GCF_000166415.1	Halanaerobium hydrogeniformans
GCF_000166695.1	Caldicellulosiruptor kristjanssonii I77R1B
GCF_000166775.1	Caldicellulosiruptor kronotskyensis 2002
GCF_000166935.1	Rickettsia sibirica 246
GCF_000168715.1	Chlorobium ferrooxidans DSM 13031
GCF_000169155.1	Thermosinus carboxydivorans Nor1
GCF_000169175.1	Microscilla marina ATCC 23134
GCF_000169255.2	Pseudoflavonifractor capillosus ATCC 29799
GCF_000169335.1	Crocosphaera chwakensis CCY0110
GCF_000169415.1	Sagittula stellata E-37
GCF_000170755.1	Lentisphaera araneosa HTCC2155
GCF_000170835.1	Marinobacter algicola DG893
GCF_000170895.1	Plesiocystis pacifica SIR-1
GCF_000171235.2	Geminisphaera colitermitum TAV2
GCF_000172155.1	Verrucomicrobium spinosum DSM 4136 = JCM 18804
GCF_000172555.1	Pedosphaera parvula Ellin514
GCF_000172635.2	Alteromonas macleodii ATCC 27126
GCF_000172975.1	Dethiosulfovibrio peptidovorans DSM 11002
GCF_000172995.2	Halogeometricum borinquense DSM 11551
GCF_000173555.1	Arthrospira maxima CS-328
GCF_000173615.1	Sulfurihydrogenibium yellowstonense SS-5
GCF_000174095.1	Wolbachia endosymbiont of Muscidifurax uniraptor
GCF_000174415.1	Dethiobacter alkaliphilus AHT 1
GCF_000174435.1	Desulfonatronospira thiodismutans ASO3-1
GCF_000175195.1	Actinobacillus minor NM305
GCF_000175215.2	Asticcacaulis excentricus CB 48
GCF_000175295.2	Thermoanaerobacter brockii subsp. finnii Ako-1
GCF_000175855.1	Raphidiopsis brookii D9
GCF_000176035.2	Mesorhizobium opportunistum WSM2075
GCF_000176115.2	Streptomyces pratensis ATCC 33331
GCF_000176355.1	Citromicrobium bathyomarinum JL354
GCF_000176855.2	Acidovorax avenae subsp. avenae ATCC 19860
GCF_000176915.2	Pseudodesulfovibrio aespoeensis Aspo-2
GCF_000177215.2	Desulfovibrio carbinoliphilus subsp. oakridgensis
GCF_000177235.2	Bacillus cellulosilyticus DSM 2522
GCF_000177335.1	Pyramidobacter piscolens W5455
GCF_000177375.1	Bulleidia extructa W1219
GCF_000177535.2	Corynebacterium resistens DSM 45100
GCF_000177555.1	Megasphaera genomosp. type_1 str. 28L
GCF_000177635.2	Desulfurispirillum indicum S5
GCF_000178115.2	Ethanoligenens harbinense YUAN-3
GCF_000178375.1	Mycoplasma alligatoris A21JP2
GCF_000178455.1	Brevibacterium mcbrellneri ATCC 49030
GCF_000178835.2	Cellulosilyticum lentocellum DSM 5427
GCF_000178855.1	Ktedonobacter racemifer DSM 44963
GCF_000178955.2	Granulicella mallensis MP5ACTX8
GCF_000178975.2	Granulicella tundricola MP5ACTX9
GCF_000179035.2	Mycoplasma suis str. Illinois
GCF_000179395.2	Corynebacterium variabile DSM 44702
GCF_000179555.1	Desulfovibrio fructosivorans JJ
GCF_000179575.2	Methanothermococcus okinawensis IH1
GCF_000179595.2	Hungateiclostridium cellulolyticum CD2
GCF_000179615.1	Paenibacillus curdlanolyticus YK9
GCF_000179635.2	Ruminococcus albus 7 = DSM 20455
GCF_000179915.2	Terriglobus saanensis SP1PR4
GCF_000181875.2	Borreliella finlandensis
GCF_000182745.2	Komagataeibacter medellinensis NBRC 3288
GCF_000183135.1	Paludibacter propionicigenes WB4
GCF_000183365.1	Mycoplasma leachii PG50
GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672
GCF_000183425.1	Marivirga tractuosa DSM 4126
GCF_000183525.2	[Eubacterium] cellulosolvens 6
GCF_000183545.2	Thermaerobacter subterraneus DSM 13965
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994
GCF_000183745.1	Oceanithermus profundus DSM 14977
GCF_000184345.1	Spirochaeta thermophila DSM 6578
GCF_000184435.1	Mycolicibacterium gilvum Spyr1
GCF_000184685.1	Intrasporangium calvum DSM 43043
GCF_000184705.1	Thermaerobacter marianensis DSM 12885
GCF_000185365.1	Enterococcus italicus DSM 15952
GCF_000185505.1	Pseudoramibacter alactolyticus ATCC 23263
GCF_000185725.2	Segniliparus rugosus ATCC BAA-974
GCF_000185805.1	Thermovibrio ammonificans HB-1
GCF_000185985.2	Candidatus Blochmannia vafer str. BVAF
GCF_000186005.1	Mycoplasma fermentans M64
GCF_000186225.1	Bacteroides helcogenes P 36-108
GCF_000186245.1	Nitratifractor salsuginis DSM 16511
GCF_000186265.1	Cellulophaga algicola DSM 14237
GCF_000186345.1	Isosphaera pallida ATCC 43644
GCF_000186365.1	Desulfurococcus mucosus DSM 2162
GCF_000186385.1	Deinococcus maricopensis DSM 21211
GCF_000186885.1	Desulfobulbus propionicus DSM 2032
GCF_000187585.1	Streptococcus peroris ATCC 700780
GCF_000188015.2	Streptococcus ictaluri 707-05
GCF_000189255.1	Vibrio brasiliensis LMG 20546
GCF_000189415.1	Weeksella virosa DSM 16922
GCF_000189535.1	Pseudarthrobacter phenanthrenivorans Sphe3
GCF_000189775.2	Thermoanaerobacterium xylanolyticum LX-11
GCF_000190315.1	Vulcanisaeta moutnovskia 768-28
GCF_000190415.1	Candidatus Odyssella thessalonicensis L13
GCF_000190435.1	Sphaerochaeta globosa str. Buddy
GCF_000190475.1	Ornithinibacillus scapharcae TW25
GCF_000190535.1	Odoribacter splanchnicus DSM 20712
GCF_000190555.1	Deinococcus proteolyticus MRP
GCF_000190575.1	Phocaeicola salanitronis DSM 18170
GCF_000190635.1	Syntrophobotulus glycolicus DSM 8271
GCF_000190735.1	Pseudopedobacter saltans DSM 12145
GCF_000191045.1	Desulfurobacterium thermolithotrophum DSM 11699
GCF_000191065.1	Prevotella multiformis DSM 16608
GCF_000191145.1	Acinetobacter pittii PHEA-2
GCF_000191585.1	Methanobacterium lacus
GCF_000192435.1	Gordonia neofelifaecis NRRL B-59395
GCF_000192575.1	Novosphingobium nitrogenifigens DSM 19370
GCF_000192745.1	Polymorphum gilvum SL003B-26A1
GCF_000192865.1	Marinomonas mediterranea MMB-1
GCF_000193205.1	Aerococcus urinae ACS-120-V-Col10a
GCF_000193225.1	Verminephrobacter aporrectodeae subsp. tuberculatae At4
GCF_000193375.1	Thermoproteus uzoniensis 768-20
GCF_000193415.1	Paenibacillus vortex V453
GCF_000193435.2	Caldicellulosiruptor lactoaceticus 6A
GCF_000193495.2	Acetobacter aceti NBRC 14818
GCF_000194135.1	Hippea maritima DSM 10411
GCF_000194605.1	Fluviicola taffensis DSM 16823
GCF_000194625.1	Archaeoglobus veneficus SNP6
GCF_000194985.1	Dialister micraerophilus DSM 19965
GCF_000195085.1	Candidatus Pelagibacter sp. IMCC9063
GCF_000195275.1	Treponema succinifaciens DSM 2489
GCF_000195295.1	Desulfobacca acetoxidans DSM 11109
GCF_000195315.1	Coriobacterium glomerans PW2
GCF_000195335.1	Marinithermus hydrothermalis DSM 14884
GCF_000195735.1	Rickettsia prowazekii str. Madrid E
GCF_000195755.1	Desulfovibrio vulgaris str. Hildenborough
GCF_000195775.1	Rhodopseudomonas palustris CGA009
GCF_000195795.1	Listeria innocua Clip11262
GCF_000195855.1	Mycobacterium leprae TN
GCF_000195915.1	Thermoplasma acidophilum DSM 1728
GCF_000195935.2	Pyrococcus abyssi GE5
GCF_000195955.2	Mycobacterium tuberculosis H37Rv
GCF_000196035.1	Listeria monocytogenes EGD-e
GCF_000196095.1	Vibrio parahaemolyticus RIMD 2210633
GCF_000196115.1	Rhodopirellula baltica SH 1
GCF_000196135.1	Wolinella succinogenes DSM 1740
GCF_000196155.1	Photorhabdus laumondii subsp. laumondii TTO1
GCF_000196175.1	Bdellovibrio bacteriovorus HD100
GCF_000196255.1	Photobacterium profundum SS9
GCF_000196275.1	Deinococcus geothermalis DSM 11300
GCF_000196315.1	Croceibacter atlanticus HTCC2559
GCF_000196355.1	Nitrosospira multiformis ATCC 25196
GCF_000196395.1	Aeromonas salmonicida subsp. salmonicida A449
GCF_000196455.1	Acetoanaerobium sticklandii
GCF_000196475.1	Photorhabdus asymbiotica
GCF_000196515.1	'Nostoc azollae' 0708
GCF_000196535.1	Mobiluncus curtisii ATCC 43063
GCF_000196655.1	Methanohalobium evestigatum Z-7303
GCF_000196675.1	Pseudonocardia dioxanivorans CB1190
GCF_000196875.2	Halomonas elongata DSM 2581
GCF_000196895.1	Halalkalicoccus jeotgali B3
GCF_000197735.1	Glutamicibacter arilaitensis Re117
GCF_000198775.1	Mycetohabitans rhizoxinica HKI 454
GCF_000199675.1	Anaerolinea thermophila UNI-1
GCF_000200735.1	Mycoplasma haemofelis str. Langford 1
GCF_000202635.1	Microbacterium testaceum StLB037
GCF_000202835.1	Acidiphilium multivorum AIU301
GCF_000203875.1	Cupriavidus pinatubonensis JMP134
GCF_000203895.1	Paracoccus denitrificans PD1222
GCF_000204015.1	Asticcacaulis biprosthecum C19
GCF_000204075.1	Trichormus variabilis ATCC 29413
GCF_000204155.1	Micromonospora maris AB-18-032
GCF_000204415.1	Methanothrix soehngenii GP6
GCF_000204545.1	Wolbachia endosymbiont wVitB of Nasonia vitripennis
GCF_000204645.1	Alicycliphilus denitrificans K601
GCF_000204925.1	Metallosphaera cuprina Ar-4
GCF_000208385.1	Sphaerochaeta coccoides DSM 17374
GCF_000208405.1	Selenomonas sputigena ATCC 35185
GCF_000209675.1	Gallibacterium anatis UMN179
GCF_000210915.2	Halobacteriovorax marinus SJ
GCF_000212375.1	Porphyromonas asaccharolytica DSM 20707
GCF_000212395.1	Thermodesulfobium narugense DSM 14796
GCF_000212415.1	Treponema brennaborense DSM 12168
GCF_000212675.2	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay
GCF_000212695.1	Cellulomonas fimi ATCC 484
GCF_000212735.1	Haliscomenobacter hydrossis DSM 1100
GCF_000212915.1	Bacteroides coprosuis DSM 18011
GCF_000213215.1	Acidianus hospitalis W1
GCF_000213235.1	Tepidanaerobacter acetatoxydans Re1
GCF_000213255.1	Mahella australiensis 50-1 BON
GCF_000213655.1	Alteromonas naphthalenivorans
GCF_000213975.1	Centipeda periodontii DSM 2778
GCF_000214075.1	Microcoleus vaginatus FGP-2
GCF_000214155.1	Mycolicibacter sinensis
GCF_000214175.1	Hoyosella subflava DQS3-9A1
GCF_000214215.1	Marinomonas posidonica IVIA-Po-181
GCF_000214275.2	Methylomicrobium album BG8
GCF_000214355.1	Treponema azotonutricium ZAS-9
GCF_000214375.1	Treponema primitia ZAS-2
GCF_000214415.1	Methanotorris igneus Kol 5
GCF_000214435.1	Desulfotomaculum nigrificans CO-1-SRB
GCF_000214595.1	Methylophaga aminisulfidivorans MP
GCF_000214665.1	Methylomonas methanica MC09
GCF_000214725.1	Methanobacterium paludis
GCF_000214825.1	Thiomicrospira cyclica ALM1
GCF_000215085.1	Desulfotomaculum ruminis DSM 2154
GCF_000215105.1	Isoptericola variabilis 225
GCF_000215705.1	Ramlibacter tataouinensis TTB310
GCF_000215745.1	Klebsiella aerogenes KCTC 2190
GCF_000215935.2	Haloplasma contractile SSD-17B
GCF_000215955.2	Salinisphaera shabanensis E1L3A
GCF_000215975.1	Thermodesulfobacterium geofontis OPF15
GCF_000215995.1	Pyrococcus yayanosii CH1
GCF_000217655.1	Treponema paraluiscuniculi Cuniculi A
GCF_000217715.1	Halopiger xanaduensis SH-6
GCF_000217795.1	Thermodesulfatator indicus DSM 15286
GCF_000217815.1	Pseudothermotoga thermarum DSM 5069
GCF_000217995.1	Methanosalsum zhilinae DSM 4017
GCF_000218235.1	Prevotella multisaccharivorax DSM 17128
GCF_000218485.1	Aquimarina agarivorans
GCF_000218545.1	Cellulomonas gilvus ATCC 13127
GCF_000218565.1	Oligotropha carboxidovorans OM5
GCF_000218625.1	Flexistipes sinusarabici DSM 4947
GCF_000218895.1	Runella slithyformis DSM 19594
GCF_000219045.1	Francisella salina
GCF_000219125.1	Acetonema longum DSM 6540
GCF_000219215.1	Cupriavidus necator N-1
GCF_000219355.1	Candidatus Midichloria mitochondrii IricVA
GCF_000219725.1	Treponema caldarium DSM 7334
GCF_000219805.1	Weissella koreensis KACC 15510
GCF_000219875.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
GCF_000219915.2	Advenella kashmirensis WT001
GCF_000220175.1	Nitrosarchaeum koreense MY1
GCF_000220525.1	Ochrovirga pacifica
GCF_000220625.1	Capnocytophaga canimorsus Cc5
GCF_000220705.2	Streptomyces xinghaiensis S187
GCF_000220945.1	Amycolatopsis mediterranei S699
GCF_000220965.1	Candidatus Tremblaya princeps PCVAL
GCF_000221045.1	Collimonas fungivorans Ter331
GCF_000222305.1	Borreliella bissettii DN127
GCF_000222485.1	Cyclobacterium marinum DSM 745
GCF_000222605.1	Vibrio ichthyoenteri ATCC 700023
GCF_000222645.1	Vibrio orientalis CIP 102891 = ATCC 33934
GCF_000223215.1	Brachyspira intermedia PWS/A
GCF_000223395.1	Pyrolobus fumarii 1A
GCF_000223985.1	Thiocapsa marina 5811
GCF_000224005.2	Marichromatium purpuratum 984
GCF_000224065.1	Thiorhodococcus drewsii AZ1
GCF_000224085.1	Muricauda ruestringensis DSM 13258
GCF_000224335.1	Bizionia argentinensis JUB59
GCF_000224455.1	endosymbiont of Riftia pachyptila (vent Ph05)
GCF_000224675.1	Enterobacter soli
GCF_000224785.1	Lentibacillus jeotgali
GCF_000224925.1	endosymbiont of Tevnia jerichonana (vent Tica)
GCF_000225345.1	Roseburia hominis A2-183
GCF_000225525.1	Streptomyces zinciresistens K42
GCF_000225825.1	Brachybacterium squillarum M-6-3
GCF_000226295.1	Chloracidobacterium thermophilum B
GCF_000226315.1	Micavibrio aeruginosavorus ARL-13
GCF_000226565.1	Glaciecola nitratireducens FR1064
GCF_000226625.1	Taylorella asinigenitalis MCE3
GCF_000226975.2	Halobiforma lacisalsi AJ5
GCF_000227315.1	Peptoniphilus indolicus ATCC 29427
GCF_000227585.1	Candidatus Glomeribacter gigasporarum BEG34
GCF_000227665.2	Thiomicrospira aerophila AL3
GCF_000227685.2	Thioalkalivibrio paradoxus ARh 1
GCF_000227705.2	Thermobacillus composti KWC4
GCF_000227725.1	Thiorhodospira sibirica ATCC 700588
GCF_000227745.2	Thiocystis violascens DSM 198
GCF_000230275.1	Acidaminococcus intestini RyC-MR95
GCF_000230555.1	Pelagibacterium halotolerans B2
GCF_000230695.2	Rhodanobacter denitrificans
GCF_000230715.2	Natronobacterium gregoryi SP2
GCF_000230735.2	Natrinema pellirubrum DSM 15624
GCF_000230895.2	Mycolicibacterium rhodesiae NBB3
GCF_000230915.1	Paenibacillus lactis 154
GCF_000230975.2	Hyphomicrobium denitrificans 1NES1
GCF_000230995.2	Mesorhizobium australicum WSM2073
GCF_000231035.2	Saccharomonospora iraqiensis subsp. paurometabolica YIM 90007
GCF_000231055.2	Saccharomonospora azurea NA-128
GCF_000231385.2	Desulfosporosinus meridiei DSM 13257
GCF_000231405.2	Desulfitobacterium metallireducens DSM 15288
GCF_000233695.2	Desulfobacter postgatei 2ac9
GCF_000233715.2	Desulfallas gibsoniae DSM 7213
GCF_000233775.1	Thermovirga lienii DSM 17291
GCF_000233915.3	Pseudoxanthomonas spadix BD-a59
GCF_000234095.1	Selenomonas infelix ATCC 43532
GCF_000234115.1	Alloprevotella rava F0323
GCF_000234135.1	Selenomonas noxia F0398
GCF_000234355.1	Gluconobacter morbifer G707
GCF_000234805.1	Pyrobaculum ferrireducens
GCF_000235405.2	Fervidobacterium pennivorans DSM 9078
GCF_000235425.2	Frankia saprophytica
GCF_000235445.1	Johnsonella ignava ATCC 51276
GCF_000235565.1	Methanosaeta harundinacea 6Ac
GCF_000235585.1	Paenibacillus terrae HPL-003
GCF_000235605.1	Desulfosporosinus orientis DSM 765
GCF_000235625.1	Marinobacter manganoxydans MnI7-9
GCF_000236035.1	Halomonas boliviensis LC1
GCF_000236145.1	Fluoribacter dumoffii Tex-KL
GCF_000236565.1	Mesorhizobium alhagi CCNWXJ12-2
GCF_000236665.1	Azospira oryzae PS
GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes
GCF_000236705.1	Owenweeksia hongkongensis DSM 17368
GCF_000236785.1	Achromobacter arsenitoxydans SY8
GCF_000237085.1	Hungateiclostridium clariflavum DSM 19732
GCF_000237205.1	Simkania negevensis Z
GCF_000237805.1	Jonquetella anthropi DSM 22815
GCF_000237825.1	Thermanaerovibrio velox DSM 12556
GCF_000237865.1	Haloquadratum walsbyi C23
GCF_000237995.1	Pediococcus claussenii ATCC BAA-344
GCF_000238055.2	Oribacterium parvum ACB1
GCF_000238075.1	Oribacterium asaccharolyticum ACB7
GCF_000238095.2	Peptoanaerobacter stomatis
GCF_000238215.1	Tannerella forsythia 92A2
GCF_000238275.3	Pseudoalteromonas undina
GCF_000238375.3	Pseudoalteromonas citrea
GCF_000238395.3	Pseudoalteromonas arctica A 37-1-2
GCF_000238995.1	Mycoplasma haemocanis str. Illinois
GCF_000239155.1	Actinoalloteichus spitiensis RMV-1378
GCF_000239275.1	Anaeroglobus geminatus F0357
GCF_000240165.1	Streptomyces cattleya NRRL 8057 = DSM 46488
GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286
GCF_000240225.1	Patulibacter medicamentivorans
GCF_000241145.1	Candidatus Nitrosarchaeum limnium BG20
GCF_000241305.1	Gordonia effusa NBRC 100432
GCF_000241345.1	Gordonia amarae NBRC 15530
GCF_000241465.1	Sphingomonas echinoides ATCC 14820
GCF_000242235.1	Stomatobaculum longum
GCF_000242255.2	Frateuria aurantia DSM 6220
GCF_000242275.1	Lactobacillus kisonensis F0435
GCF_000242335.1	Prevotella dentalis DSM 3688
GCF_000242455.2	Singulisphaera acidiphila DSM 18658
GCF_000242595.2	Spirochaeta africana DSM 8902
GCF_000242615.2	Holophaga foetida DSM 6591
GCF_000242635.2	Solitalea canadensis DSM 3403
GCF_000242875.2	Candidatus Nitrosopumilus salaria BD31
GCF_000242915.1	Sulfurimonas gotlandica GD1
GCF_000243115.2	Niabella soli DSM 19437
GCF_000243135.2	Desulfitobacterium dichloroeliminans LMG P-21439
GCF_000243155.2	Desulfitobacterium dehalogenans ATCC 51507
GCF_000243235.1	Gillisia limnaea DSM 15749
